headline,writers,date,genre,content
Reporters Without Borders calls for Egypt to release Tawfik Ghanem,Unknown,"May 27, 2023 at 10:37 am",Africa+Egypt+International Organisations+News+Reporters Without Borders (RSF)+UN,"Reporters Without Borders has called on the Egyptian authorities to release Tawfik Ghanem, the former bureau chief of the Anadolu Agency office in Cairo, noting that he had begun his third year in detention without being brought to trial. The organisation stated on its website, signed by the head of its Middle East desk, Jonathan Dagher, that imprisonment without trial is a common practice in Egypt, where 12 of the 20 imprisoned journalists are being held in pre-trial detention. The statement noted that Egyptian police: ""Arrested [Ghanem] at his home on 21 May, 2021, and was held incommunicado for five days before being brought before a prosecutor and placed in provisional detention for allegedly belonging to a 'banned organisation' and spreading 'false information,'"" noting that these charges are ""often used to detain journalists in Egypt."" Ghanem has been in pre-trial detention for more than two years, as his provisional detention has been renewed every 15 to 45 days since 26 May, 2021. READ: UN: Malnutrition risk for half a million Yemen children Reporters Without Borders has reported that the Egyptian code of criminal procedure has a two-year limit on pre-trial detention, regardless of the charges. However, Ghanem is still being detained and deprived of medical care. He is 69 years old and suffers from serious health problems, including being diabetic. The statement confirmed that the authorities do not allow Ghanem to receive the treatment for diabetes he requires at Abu Zaabal prison, except when he is visited by his children every two weeks. The prison administration also ignores his other chronic illnesses, including bone pain. According to the statement, in 2021, a prison doctor declared that Ghanem should be sent to hospital for further examination for tumours. The authorities promised to do this but never fulfilled their promise. ""The Egyptian authorities must stop using provisional detention as a punitive tool against journalists. Tawfik Ghanem is a courageous and reputable media professional who should not have to spend his retirement in prison,"" asserted Jonathan Dagher. ""We denounce this flagrant injustice and call on the authorities to drop the charges against him and free him immediately so that he can receive appropriate medical care as soon as possible,"" he added. Reporters Without Borders wrote to the United Nations (UN) special rapporteurs on freedom of expression, torture, the independence of judges and the right to health and the UN Working Group on Arbitrary Detention two months after his arrest in July 2021 to ask them to take all the necessary steps with the Egyptian authorities to obtain Ghanem's immediate and unconditional release. READ: Egypt defers payments for wheat imports amid dollar crunch   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Russia, Somalia mull establishment of platform for trade cooperation",Unknown,"May 26, 2023 at 8:11 pm",Africa+Europe & Russia+News+Russia+Somalia,"Somali Foreign Minister, Abshir Omar Jama, said on Friday that he discussed a possibility of creating trade platforms with his Russian counterpart, Sergey Lavrov, at a meeting in Moscow, Anadolu Agency reports. Speaking at a news conference, Jama said the Russian establishment of such a platform would allow Russian and Somalia trade operators and businesses to interact more effectively and use existing opportunities more efficiently. Lavrov, for his part, said Moscow expressed support for the Somali leadership in state-building, strengthening, unity of the country, steps to stabilise the internal situation and the fight against terrorism and extremism. The progress in this direction will open opportunities for expanding business community cooperation, he said. ""Entrepreneurs of the Russian Federation are interested in the opportunity to come and work together with Somali partners in the field of energy and mining, as well as other promising areas,"" he noted. The Minister stressed that Russia is in favour of ""African solution to African problems,"" and for taking into account the interests of the African continent when addressing the issue of reforming the UN Security Council. According to Lavrov, ""the reform of the UN Security Council should be aimed exclusively at solving the problem of under-representation of developing countries, the countries of the world majority."" Lavrov said he also discussed with Jama the fight against piracy off the coast of Somalia. According to his assessment, ""now the severity of this problem has somewhat decreased,"" but Moscow and Mogadishu agreed to stay in touch on this issue. READ: Somalia sees an intertwined destiny with the Turkiye people   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Turkiye homes in northern Syria for voluntary return of Syria refugees,Unknown,"May 26, 2023 at 8:07 pm",Europe & Russia+Middle East+News+Syria+Turkey,"Ankara is currently working on the safe return of Syrian refugees in Turkiye to their country, Turkish President, Recep Tayyip Erdogan, has said, as Syrian citizens praise the peaceful atmosphere created in Syria after their voluntary return, Anadolu Agency reports. Erdogan, on Thursday, also noted that ""with the support of Qatar, the work to build houses in Syria, which can accommodate 1 million refugees, continues."" Wafaa Mustafa Hajjaj, a Syrian citizen who lives with her child and nephews in Azaz in the countryside of Aleppo, told Anadolu that she came to Turkiye for treatment after she lost her eyesight in an attack on her village. Hajjaj, who stayed in Turkiye for five years, pointed out that during each stay, Turkish people have always supported her and her family. Hajjaj noted that she voluntarily returned to Syria. An infographic titled ""Falling number of Syrians refugees going home from Jordan, Lebanon"" is created in Ankara, Turkiye on October 25, 2022 [Yılmaz Yücel/Anadolu Agency]0The Syrian citizen hailed the Turkish effort in preparing the infrastructure for the Syrian refugees' return.
""The camp where we reside has water and electricity, and the needs are met through solar energy,"" Hajjaj told Anadolu.
She stressed the safety of the area she currently resides, adding: ""I believe that the rest of the Syrian refugees will return to their homeland whenever security prevails.""
""These areas are now safe because of Turkiye's presence,"" she added.
Turkish Interior Minister, Suleyman Soylu, on Wednesday attended a groundbreaking ceremony for the project, ""Voluntary, Safe, Honourable Return Project"" in the northern Syria district of Jarablus, where he said a total of 240,000 houses will be constructed at nine separate locations across the Idlib and Afrin regions in the next three years.
Since 2016, Turkiye has launched four successful anti-terror operations across its border in northern Syria to prevent the formation of a terror corridor and enable peaceful settlement by locals: Euphrates Shield (2016), Olive Branch (2018), Peace Spring (2019) and Spring Shield (2020).
Thanks to these operations, the pace of the return of Syrian refugees from Turkiye to their country has accelerated.
More than 3.7 million Syrians currently reside in Turkiye, making it the world's top refugee-hosting country.
Following the start of a civil war in Syria in 2011, Turkiye adopted an ""open-door"" policy for Syrians fleeing persecution and brutality.
Syria has been embroiled in a vicious civil war since early 2011, when the Bashar Al-Assad regime cracked down on pro-democracy protests with unexpected ferocity.
Hundreds of thousands of people have been killed, and more than 10 million others displaced, according to UN estimates.
READ: Anger and fear among Syrians amid Turkiye opposition anti-immigrant campaign
CategoriesEurope & RussiaMiddle EastNewsSyriaTurkey
 Show Comments






Unless otherwise stated in the article above, this work by Middle East Monitor is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License. If the image(s) bear our credit, this license also applies to them. What does that mean? For other permissions, please contact us.


Spotted an error on this page? Let us know


 













This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.


Δ An infographic titled ""Falling number of Syrians refugees going home from Jordan, Lebanon"" is created in Ankara, Turkiye on October 25, 2022 [Yılmaz Yücel/Anadolu Agency]0 The Syrian citizen hailed the Turkish effort in preparing the infrastructure for the Syrian refugees' return. ""The camp where we reside has water and electricity, and the needs are met through solar energy,"" Hajjaj told Anadolu. She stressed the safety of the area she currently resides, adding: ""I believe that the rest of the Syrian refugees will return to their homeland whenever security prevails."" ""These areas are now safe because of Turkiye's presence,"" she added. Turkish Interior Minister, Suleyman Soylu, on Wednesday attended a groundbreaking ceremony for the project, ""Voluntary, Safe, Honourable Return Project"" in the northern Syria district of Jarablus, where he said a total of 240,000 houses will be constructed at nine separate locations across the Idlib and Afrin regions in the next three years. Since 2016, Turkiye has launched four successful anti-terror operations across its border in northern Syria to prevent the formation of a terror corridor and enable peaceful settlement by locals: Euphrates Shield (2016), Olive Branch (2018), Peace Spring (2019) and Spring Shield (2020). Thanks to these operations, the pace of the return of Syrian refugees from Turkiye to their country has accelerated. More than 3.7 million Syrians currently reside in Turkiye, making it the world's top refugee-hosting country. Following the start of a civil war in Syria in 2011, Turkiye adopted an ""open-door"" policy for Syrians fleeing persecution and brutality. Syria has been embroiled in a vicious civil war since early 2011, when the Bashar Al-Assad regime cracked down on pro-democracy protests with unexpected ferocity. Hundreds of thousands of people have been killed, and more than 10 million others displaced, according to UN estimates. READ: Anger and fear among Syrians amid Turkiye opposition anti-immigrant campaign   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Lebanon to take steps to fix finance sector shortfalls - Finance Intelligence Unit,Unknown,"May 26, 2023 at 7:59 pm",Africa+Lebanon+Middle East+News,"Lebanon will work over the next year to address deficiencies in policing corruption identified by a financial crime watchdog, the country's Financial Intelligence Unit said on Friday, Reuters reports. The Special Investigation Commission said in a statement it ""discussed and adopted"" an evaluation report by the Middle East and North Africa Financial Action Task Force (MENAFATF) during the body's plenary this week in Bahrain. The evaluation is a crucial step towards regaining or further degrading trust in Lebanon's financial system, which has been in a tailspin since 2019. Its authorities are struggling to implement reforms to secure a deal with the International Monetary Fund for a bailout. The report will be published in June, the Commission said, without noting any amendments to the draft. A draft seen by Reuters showed Lebanon scored as only partially compliant in several categories, including anti-money laundering measures, transparency on beneficial ownership of firms and mutual legal assistance in asset freezing and confiscation. The cumulative score put Lebanon ""one mark over the threshold to be grey-listed,"" said a diplomatic source. The Commission did not respond to requests for comment. Its statement cited ""recent uninformed statements and analysis that Lebanon may be listed on the 'grey list' this week'."" ""Lebanon will have to take corrective measures to address the identified deficiencies and submit to MENAFATF a progress report during 2024,"" it added. Being on the grey list could disrupt a country's capital flows, the IMF found in a 2021 paper, with banks possibly ending relationships with customers in high-risk countries to reduce compliance costs. Other risks include reputational damage, credit ratings adjustments, trouble obtaining global finance and higher transaction costs. Lebanon's financial crisis has severely restricted banking transactions and many corresponding institutions have cut their ties to the country. It has made little progress on reforms required by the IMF, and its Central Bank Governor has been charged by France in a financial fraud case, triggering an Interpol Red Notice. READ: Civil groups file legal action to impose sanctions on 'corrupt' Lebanon politicians, bankers   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"3 dead, 12 missing as migrant boat capsizes in Aegean Sea",Unknown,"May 26, 2023 at 6:18 pm",Europe & Russia+Greece+News,"Three migrants were killed and twelve others are still missing after their boat capsized off the Mykonos Island in the Aegean Sea on Friday morning, Greek state broadcaster ERT said, Anadolu Agency reports. The coast guard has been carrying out a search and rescue operation since the early hours of Friday. Two migrants, a Syrian and a Palestinian, who were on board the boat, were rescued. Initially, the migrants, who were rescued and transported safely to the island's port, said six people were aboard the boat, but they later confirmed that 15 people were on the boat. Several humanitarian groups have continuously accused the Greek government for its treatment of migrants arriving in Greece and its illegal push backs which violate several human rights laws. In April, video footage recorded on the island of Lesvos by an Austrian activist and later released by the US-based newspaper The New York Times, revealed the illegal push backs the Greek government has been denying. The video showed 12 migrants, including children and a 6-month-old infant, being transported by a van to a nearby remote area where they were forcefully seen boarding a high-speed inflatable boat. According to the report, the man who drove the vehicle was wearing a balaclava. The irregular migrants were later transferred to a Greek Coast Guard vessel before being abandoned on a floating boat in the middle of the Aegean Sea and set adrift until they were picked up by the Turkish Coast Guard. Former Greek Prime Minister, Kyriakos Mitsotakis, argued that his government's policy towards irregular migration is tough but fair, and that the video is being investigated. In 2015-16, Greece was at the epicentre of the migration crisis, with nearly 1 million refugees crossing its borders in search of safety from war-stricken countries. READ: Greek PM says migrant 'push back' inquiry underway, AFP reports   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Women 'most important heroes' of Turkiye struggle to serve nation: President,Unknown,"May 26, 2023 at 5:26 pm",Europe & Russia+News+Turkey,"Turkiye has realised many projects about women to enhance their area of ​​freedom, President Recep Tayyip Erdogan said on Friday, Anadolu Agency reports. ""Over the course of our 40-year-long journey in politics, we have always walked shoulder to shoulder with our women … We have always overcome the obstacles raised before us and the attacks that even reached the point of targeting our lives with the support of women. ""Today, I would like to underline, once again, that women are the most important heroes of our struggle to serve our country and nation,"" Erdogan said at a meeting with women's societies in Istanbul. Turkiye has expanded the areas of freedom, employment and representation of women without any discrimination, he stressed. ""We have increased the rate of women completing at least one level of education from 70 per cent to 88 per cent. We have increased women in employment from 6 million to 10.5 million,"" Erdogan said. The President added that the efforts and labour of women contributed to Turkiye's progress in all areas from economy to trade, from rights and freedoms to agriculture, tourism, education and health. Erdogan also hailed Diyarbakir mothers who continue their sit-in protest against the PKK terror group in south-eastern Turkiye. ""I pay my respects to the mothers of Diyarbakir, who have been on the guard for months to take back their children that the separatist organisation forcibly smuggled into the mountains,"" he said. He added that the mothers defy terrorist organisations through their watch for their children. The sit-in protest against the PKK terror group in south-eastern Turkiye began in September 2019 in Diyarbakir, when three mothers said their children had been forcibly recruited by YPG/PKK terrorists. The sit-in outside the offices of the Peoples' Democratic Party (HDP) – a party currently facing a closure case, and which the government accuses of having links to the terrorist YPG/PKK – has been growing every day. Demonstrations have also spread to other provinces, including Van, Mus, Sirnak and Hakkari. READ: Turkiye women in Belgium tell secrets behind success   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Israel mulls imposing restrictions on foreign funding for NGOs,Unknown,"May 26, 2023 at 5:14 pm",Israel+Middle East+News+Palestine,"The Israeli government is considering a bill aimed at imposing restrictions on foreign funding for NGOs, local media reported yesterday. According to media reports, the bill states that any nonprofit group that engages in public advocacy two years before or after receiving a donation from a foreign government will lose its status as a public institution and will no longer be eligible for tax exemptions. In addition, those non-profits will be hit with a 65 per cent income tax. The reports indicated that many organisations in Israel and the Palestinian territories depend on foreign funding, and the proposed bill could severely impact their ability to operate. The legislation, drafted by a member of Prime Minister Benjamin Netanyahu's Likud Party, Ariel Kallner, is set to be brought before the Knesset's high-level Ministerial Committee for Legislation on Sunday. Kallner said the goal of the tax is to ""prevent foreign interests from gaining the upper hand."" Kallner accused European countries of deliberately undermining Israel's interests through their financing activities. READ: Israel to impose 65% tax on human rights groups critical of the occupation state   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Anger and fear among Syrians amid Turkiye opposition anti-immigrant campaign,Unknown,"May 26, 2023 at 5:08 pm",Europe & Russia+Middle East+News+Syria+Turkey,"Like many Syrians in Turkiye, Ghaith Sameer is awaiting the result of Sunday's election runoff with trepidation, fearing a win for an opposition candidate who promises to swiftly repatriate migrants, Reuters reports. Sameer fled Syria's civil war in 2012 and is now one of over 3.4 million Syrians living in neighbouring Turkiye, where economic woes have aggravated a rising tide of hostility that has washed into the presidential election. ""The opposition's promises frighten me and make me angry, as well, because they make Turkish citizens hate us,"" said Sameer, who took Turkish nationality two years ago and plans to vote on Sunday for President Tayyip Erdogan. While Erdogan has a good chance to win the runoff after falling just short of an outright first-round victory two weeks ago, his challenger, Kemal Kilicdaroglu, has embraced anti-migrant rhetoric to try to turn the race around. READ: The Syrians in Turkiye are between a rock and a hard place Kilicdaroglu has teamed up with a far-right nationalist party and promised to repatriate all migrants within a year, as posters bearing his face have sprouted across Turkish cities vowing that Syrians will leave. Although Erdogan has been more welcoming to Syrians and other migrants in Turkiye, which has the world's biggest refugee population of 5 million, he has also made moves to accelerate a return of migrants to Syria. For Syrians, the election and the anti-migrant turn in Turkish politics have cast new uncertainty over their future, causing many to wonder if they will have to start again, having already fled a deadly war in their homeland. Sameer, 38, said many of his friends and relatives were putting off plans until after the election when things would be clearer, with his brother even waiting to replace a broken food processor. ""Most Syrians now feel as if the course of their entire lives depends on the results of the elections,"" he lamented. Even though he has Turkish citizenship, Sameer has still been making alternative plans ""in case anything happens"". He has even considered moving with his wife and two small children to a country where conditions for Syrians might be better, such as Egypt or the Kurdish region of Iraq. When Kilicdaroglu announced a deal on Wednesday for far-right Victory Party leader, Umit Ozdag, to back him in the runoff, Ozdag said their promised departure of migrants would lift ""the burden"" on the economy and stop Turkiye becoming ""migrant-istan"". Playing on xenophobic stereotypes that accuse Syrians and Afghan refugees of theft, sexual harassment and other crimes, Ozdag said repatriating migrants would ""make the streets safe again"". Such language and Kilicdaroglu's new anti-migrant posters that hang from lamp posts and over underpasses have been particularly alarming for Syrians. ""Can anyone with even a shred of humanity accept to see signs hanging on the walls of schools and crowded streets threatening to deport Syrians?"" asked Ahmad, a 40-year-old Syrian who, like Sameer, now has Turkish nationality. READ: Is Turkiye democratic enough not to apply forced repatriation and politicising refugees? Ahmad, who withheld his family name fearing repercussions, said he was worried how the signs would affect Syrian children who can read Turkish because they are educated in the language, and described it as ""repulsive and disgusting hate speech"". Most major warfare has been paused in Syria for years, with Turkiye controlling enclaves across the border where it backs rebels against President Bashar Al-Assad and which are already crowded with displaced people from other parts of Syria. Life across the border is brutally hard, with damaged infrastructure, a ravaged economy and the constant threat that war could suddenly erupt again. People in rebel-held territory fear reprisals if the government retakes those areas. With their fate a growing political issue, many Syrians may still feel unease even if Erdogan beats Kilicdaroglu on Sunday, noting his administration's plans for new housing projects across the border to accelerate their eventual repatriation. Like other regional leaders, Erdogan is also mending fences with Assad,  raising the possibility of a rapprochement that could worry many Syrians in Turkiye. Saad Abdalkader, who has lived in Turkiye since 2015, said he could envisage no stability in Syria while Assad held power, and was considering travelling onwards to Europe in search of safety. He recounted an incident when a friend was robbed, but feared he would be assaulted if he went to the police to illustrate the precarious position many Syrians feel themselves to be in Turkiye. Omar Kadkoy, a Syrian working at the Ankara-based economic think tank, TEPAV, said Syrians still faced ""misery and fear"" in their home country, which would feel like a foreign land to their children. ""It isn't an easy decision to make,"" he said of returning voluntarily, adding that for Syrian children in Turkiye: ""They're moulded by everything that is Turkish. To them, Syria is a bed-time story."" READ: Erdogan rival sharpens tone on migrants before Turkiye runoff   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Sudan war spells more disaster for Darfur city on Chad border,Unknown,"May 26, 2023 at 3:34 pm",Africa+News+Sudan,"When war engulfed Sudan's capital last month, it quickly spread to the western Darfur region, reigniting an old conflict and sending a wave of refugees over the border into Chad, Reuters reports. Nasr Abdullahi sent his wife, sister and five children to Chad last week, staying behind to wait for news of a 17-year-old son in the capital, Khartoum. But when his neighbour's house was burned down and gangs took over the streets, he fled, too. ""I couldn't take it anymore, so I decided to leave on foot,"" the 42-year-old said, after arriving exhausted on Wednesday in the Chadian town of Adre, about 27km (17 miles) from El Geneina, the main city in West Darfur State. ""I crossed through the bush and walked west all night."" Residents link the resurgence of violence in El Geneina and other parts of Darfur to the power struggle between Sudan's Army and paramilitary Rapid Support Forces (RSF) in Khartoum, which has allowed militias in the area to go unchecked. Those interviewed by Reuters said the attacks since late April in El Geneina were carried out by Janjaweed militias, armed men usually thought to come from Arab nomadic tribes riding trucks, motorcycles and horses – the same militias from which the RSF was born. READ: 18 civilians killed in clashes in Sudan's Darfur: Medics The RSF denies instigating violence in Darfur, instead blaming the Army. The attacks in El Geneina have razed its markets, power grid and medical facilities, witnesses say, reviving memories of the atrocious violence that erupted in the early 2000s. Sudan's Health Ministry says up to 510 people have been killed in the city of about half a million. At least 250,000 people in West Darfur have been internally displaced, while another 90,000 have fled to Chad. With El Geneina's communications now cut off, Abdullahi's account offered a rare glimpse of the chaos. ""Heavy weapons and machine guns are being fired everywhere. When you go out in the morning, you see new bullet holes in the walls,"" he said, adding that water supplies were cut and food was running scarce in the city he left. The feared Janjaweed militias first gained power as the government used them against rebels in Darfur two decades ago. More than 300,000 people were killed and 2.5 million displaced. The RSF emerged from them and grew into a large paramilitary force with legal status. Its commander, Mohamed Hamdan Dagalo, known as Hemedti, became deputy head of Sudan's ruling council after helping topple former leader Omar al-Bashir during a popular uprising in 2019. Though conflict in Darfur is often described along ethnic lines, pitting Arab tribes against non-Arabs, it is also rooted in a struggle for land, intensified by climate change. ""This is between the herder and the farmer. It's about resources and land,"" said Sultan Saad Bahreldin, leader of the Masalit tribe, the largest bloc of El Geneina residents. Arab livestock herders migrated to less arid areas during droughts in Darfur in the 1970s and 80s, causing tensions, said Jerome Tubiana, a researcher on the region. They gained more land as the Janjaweed helped government forces drive back rebels in the conflict from 2003. But they felt a 2020 peace deal with some rebel groups, which promised the return of displaced people to their land, ignored their needs. Attacks increased as international peacekeepers withdrew. READ: 85,000 people forced into secondary displacement in Geneina, Sudan: OCHA Five El Geneina residents, most preferring to remain anonymous to avoid retaliation, said by telephone – before lines went down – that they thought the militias aimed to empty the city and that the army had done little to offer protection. Instead, armed Masalit men and members of the Sudanese Alliance, a group that signed the peace deal, fight from within the neighbourhoods they live in. ""The militias attacked anyone present in the city, even if they initially targeted Masalit tribes. Even Arab residents were not safe,"" said Mohamed Aldouma, former governor of the state and member of the Darfur Bar Association, a human rights group. Lawyer, Jamal Abdallah, said that witnesses had told him of one incident in El Geneina where seven people were killed in one home, and another in a makeshift clinic where 12 already injured people and a doctor were gunned down. ""The Janjaweed come into homes and shoot,"" Abdallah added, saying he could see dead bodies and dead animals strewn in the street. Three people living in El Geneina told Reuters that they saw attackers wearing the RSF's beige uniforms. The RSF has, in the past, rebuked individual soldiers for involvement in Janjaweed attacks, but it accuses the Army and allied militias of being behind the latest Darfur violence. Hemedti, who hails from an Arab tribe, called on people in El Geneina in an audio message earlier this week to ""reject regionalism and tribalism. Stop fighting amongst yourselves immediately."" READ: Sudan fighting threatens $50bn Gulf investments An Army spokesperson did not respond to a request for comment. Representatives for the Janjaweed militias could not be reached. Attempts to contact leaders of Arab tribes living in the city failed due to the blackout. Enaam Alnour, a local activist, said her brother and several male relatives were killed and her neighbourhood was ""completely destroyed, burned, looted"". She told Reuters from El Geneina that she documented from doctors and witnesses the rape of nine female university students by armed men. Reuters could not verify those incidents. The Sudanese Doctors Union said that all of the city's hospitals were destroyed, as well as its blood bank. Photos shared by a local journalist with Reuters showed drip bottles punctured, rendering them useless. Government buildings, the main market and aid agency offices were looted, witnesses and aid groups said. Though West Darfur is the nation's hungriest state, many farmers are unable to access land or supplies to prepare for the rainy season. At least 85,000 people who had sought refuge after previous attacks inside El Geneina's now-destroyed schools, municipal buildings and mosques are displaced again, said Mathilde Vu, of the Norwegian Refugee Council. It is dangerous for aid workers to deploy, Vu said. ""We are looking at a very bleak future."" READ: Sudan ceasefire brings some respite after weeks of heavy battles   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Bahrain schools ordered by King to remove lessons teaching about Israel, normalisation deals",Unknown,"May 12, 2023 at 2:59 pm",Asia & Americas+Bahrain+Israel+Middle East+News+US,"Bahrain's educational institutions have been ordered by King Salman Al Khalifa not to implement any changes to the curriculum that are ""not compatible with Bahrain's national values designed to protect religion and its core pillars."" According to Alarabiya News, the announcement came on Tuesday following issues raised by critics regarding the inclusion of Israel and changes to the maps of the contested Israeli-Palestinian territories. A statement from the government, shared online, said, ""His Royal Highness ordered the Minister of Education to ensure educational curricula adhere to Islamic teachings, in line with the National Action Charter and the Constitution."" ""His Royal Highness reiterated that the Islamic religion is inviolable and should be respected and protected at all costs,"" it added. The amendment made to subjects in primary schools included a lesson on the normalisation of ties between the Gulf State and Israel and removal of lessons on the Jews, reported BBC Arabic. The changes provoked preachers and scholars, issuing statements calling on the Ministry of Education to reconsider the amendments, which resulted in the order from the Crown Prince to suspend lessons teaching about Israel and the normalisation deals. Bahrain and Israel signed a normalisation of a US-brokered Abraham Accords deal in Washington in September 2020 and, since then, they have exchanged diplomats and signed agreements in security and commerce. However, Manama's normalisation with Israel has proven to be widely unpopular by Bahrain's citizens who have routinely held rallies against the 2020 decision. READ: Israeli army assassinates 5th Islamic Jihad leader   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
